"";"year";"disaster.group";"disaster.subgroup";"disaster.type";"disaster.subtype";"country";"deaths";"total_affected"
"1";2013;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Uganda";3;6
"2";2012;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Democratic Republic of the Congo";13;36
"3";2012;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Uganda";4;11
"4";2011;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Uganda";1;1
"5";2009;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Democratic Republic of the Congo";15;32
"6";2008;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Philippines";0;6
"7";2008;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Uganda";37;149
"8";2007;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Democratic Republic of the Congo";187;264
"9";2004;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Russia";1;1
"10";2004;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"South Sudan";7;17
"11";2003;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Congo";29;35
"12";2003;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Congo";128;143
"13";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Congo";43;57
"14";2002;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Gabon";53;65
"15";2001;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Uganda";224;425
"16";1996;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Russia";1;1
"17";1996;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Philippines";0;0
"18";1996;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"United States";0;0
"19";1996;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"South Africa";1;2
"20";1996;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Gabon";45;60
"21";1996;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Gabon";21;37
"22";1995;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Democratic Republic of the Congo";250;315
"23";1994;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Cote d'Ivoire";0;1
"24";1994;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Gabon";31;52
"25";1992;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Italy";0;0
"26";1990;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Philippines";0;3
"27";1990;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"United States";0;4
"28";1989;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"United States";0;0
"29";1979;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"South Sudan";22;34
"30";1977;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Democratic Republic of the Congo";1;1
"31";1976;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"United Kingdom";0;1
"32";1976;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"South Sudan";151;284
"33";1976;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Democratic Republic of the Congo";280;318
"34";0;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Guinea";843;1472
"35";0;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Liberia";2458;4249
"36";0;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Sierra Leone";1183;3252
"37";0;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Senegal";0;1
"38";0;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Spain";0;1
"39";0;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Nigeria";8;20
"40";0;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"United States";1;3
"41";1900;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Jamaica";30;0
"42";1900;"Natural";"Climatological";"Drought";"Drought";"Cape Verde Is";11000;0
"43";1900;"Natural";"Climatological";"Drought";"Drought";"India";1250000;0
"44";1900;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Japan";30;0
"45";1900;"Natural";"Hydrological";"Flood";"--";"Jamaica";300;0
"46";1900;"Natural";"Meteorological";"Storm";"Tropical cyclone";"United States";6000;0
"47";1900;"Technological";"Technological";"Miscellaneous accident";"Fire";"United States";300;0
"48";1901;"Natural";"Biological";"Epidemic";"--";"Uganda";2e+05;0
"49";1901;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Tanzania Uni Rep";0;0
"50";1901;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"Japan";18;0
"51";1901;"Technological";"Technological";"Industrial Accident";"Explosion";"Belgium";18;0
"52";1902;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Guatemala";2000;0
"53";1902;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Soviet Union";4562;0
"54";1902;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"El Salvador";185;0
"55";1902;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Martinique";30000;0
"56";1902;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"St Vincent and The Grenadines";1565;0
"57";1902;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Guatemala";7000;0
"58";1902;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Japan";125;0
"59";1902;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Myanmar";600;0
"60";1902;"Technological";"Technological";"Miscellaneous accident";"Fire";"United States";115;0
"61";1903;"Natural";"Climatological";"Drought";"Drought";"Niger";0;0
"62";1903;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Turkey";6000;0
"63";1903;"Natural";"Geophysical";"Mass movement dry";"Rockfall";"Canada";76;23
"64";1903;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Comoros";17;0
"65";1903;"Natural";"Hydrological";"Flood";"--";"United States";250;0
"66";1903;"Natural";"Meteorological";"Storm";"Local storm";"United States";98;0
"67";1903;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Jamaica";65;0
"68";1903;"Technological";"Technological";"Miscellaneous accident";"Fire";"United States";602;0
"69";1903;"Technological";"Technological";"Miscellaneous accident";"Fire";"France";84;0
"70";1904;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Ecuador";0;0
"71";1904;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Bangladesh";0;0
"72";1904;"Technological";"Technological";"Miscellaneous accident";"Explosion";"Belgium";15;2
"73";1904;"Technological";"Technological";"Transport Accident";"Rail";"United States";96;0
"74";1904;"Technological";"Technological";"Transport Accident";"Water";"United States";1000;0
"75";1905;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"India";20000;0
"76";1905;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Italy";2500;0
"77";1905;"Natural";"Geophysical";"Mass movement dry";"Rockfall";"Canada";18;18
"78";1905;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Philippines";240;0
"79";1905;"Technological";"Technological";"Industrial Accident";"Explosion";"Belgium";16;0
"80";1906;"Natural";"Climatological";"Drought";"Drought";"Niger";0;0
"81";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Ethiopia";0;0
"82";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"El Salvador";0;0
"83";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Nicaragua";1000;0
"84";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"United States";2000;0
"85";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Chile";20000;0
"86";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Colombia";400;0
"87";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Ecuador";0;0
"88";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"China P Rep";1266;0
"89";1906;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Taiwan (China)";7300;0
"90";1906;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Italy";700;0
"91";1906;"Natural";"Hydrological";"Flood";"--";"Belgium";6;0
"92";1906;"Natural";"Meteorological";"Storm";"Tropical cyclone";"United States";298;0
"93";1906;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Hong Kong (China)";10000;0
"94";1906;"Technological";"Technological";"Industrial Accident";"Explosion";"France";1099;14
"95";1906;"Technological";"Technological";"Miscellaneous accident";"Fire";"United States";1188;0
"96";1906;"Technological";"Technological";"Transport Accident";"Rail";"United Kingdom";24;0
"97";1906;"Technological";"Technological";"Transport Accident";"Water";"France";34;19
"98";1907;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"India";1300000;0
"99";1907;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Jamaica";1200;90000
"100";1907;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"China P Rep";12000;0
"101";1907;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Soviet Union";12000;0
"102";1907;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"Japan";41;0
"103";1907;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"Indonesia";400;0
"104";1907;"Technological";"Technological";"Miscellaneous accident";"Collapse";"Canada";75;0
"105";1908;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Tanzania Uni Rep";0;0
"106";1908;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Romania";0;0
"107";1908;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Italy";75000;150000
"108";1908;"Natural";"Geophysical";"Mass movement dry";"Landslide";"Canada";33;0
"109";1908;"Technological";"Technological";"Industrial Accident";"Explosion";"India";20;0
"110";1908;"Technological";"Technological";"Industrial Accident";"Explosion";"Belgium";18;0
"111";1908;"Technological";"Technological";"Industrial Accident";"Other";"Germany";360;0
"112";1908;"Technological";"Technological";"Miscellaneous accident";"Fire";"Canada";100;0
"113";1908;"Technological";"Technological";"Miscellaneous accident";"Fire";"United States";352;0
"114";1909;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"China P Rep";1500000;0
"115";1909;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Indonesia";40;0
"116";1909;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Morocco";100;0
"117";1909;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Iran Islam Rep";5000;0
"118";1909;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"France";46;0
"119";1909;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Indonesia";5500;0
"120";1909;"Natural";"Hydrological";"Flood";"Storm surge/coastal flood";"United States";72;0
"121";1909;"Natural";"Hydrological";"Mass movement wet";"Landslide";"Jamaica";53;0
"122";1909;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Haiti";150;0
"123";1909;"Natural";"Meteorological";"Storm";"Tropical cyclone";"United States";391;0
"124";1909;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Bangladesh";172;0
"125";1909;"Technological";"Technological";"Miscellaneous accident";"Fire";"Mexico";250;0
"126";1910;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"China P Rep";60000;0
"127";1910;"Natural";"Climatological";"Drought";"Drought";"Chad";0;0
"128";1910;"Natural";"Climatological";"Drought";"Drought";"Burkina Faso";0;0
"129";1910;"Natural";"Climatological";"Drought";"Drought";"Cape Verde Is";0;0
"130";1910;"Natural";"Climatological";"Drought";"Drought";"Gambia The";0;0
"131";1910;"Natural";"Climatological";"Drought";"Drought";"Guinea Bissau";0;0
"132";1910;"Natural";"Climatological";"Drought";"Drought";"Mali";0;0
"133";1910;"Natural";"Climatological";"Drought";"Drought";"Mauritania";0;0
"134";1910;"Natural";"Climatological";"Drought";"Drought";"Niger";85000;32000
"135";1910;"Natural";"Climatological";"Drought";"Drought";"Senegal";0;0
"136";1910;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Tanzania Uni Rep";0;0
"137";1910;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Algeria";12;0
"138";1910;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Costa Rica";1750;0
"139";1910;"Natural";"Geophysical";"Mass movement dry";"Avalanche";"Canada";62;0
"140";1910;"Natural";"Hydrological";"Flood";"--";"Japan";1379;0
"141";1910;"Natural";"Meteorological";"Storm";"Tropical cyclone";"United States";30;0
"142";1910;"Technological";"Technological";"Industrial Accident";"Explosion";"India";39;0
"143";1910;"Technological";"Technological";"Transport Accident";"Rail";"Canada";63;20
"144";1911;"Natural";"Climatological";"Wildfire";"Forest fire";"Canada";73;200
"145";1911;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Philippines";1335;199
"146";1911;"Natural";"Hydrological";"Flood";"General flood";"China P Rep";1e+05;0
"147";1911;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Taiwan (China)";1000;0
"148";1911;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Bangladesh";0;0
"149";1911;"Technological";"Technological";"Miscellaneous accident";"Collapse";"United States";80;0
"150";1911;"Technological";"Technological";"Miscellaneous accident";"Fire";"United States";145;0
"151";1912;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Turkey";923;1575
"152";1912;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Romania";0;0
"153";1912;"Natural";"Meteorological";"Storm";"Local storm";"Canada";28;2700
"154";1912;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Jamaica";142;94820
"155";1912;"Natural";"Meteorological";"Storm";"Tropical cyclone";"China P Rep";50000;0
"156";1912;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Japan";1000;0
"157";1912;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Philippines";0;0
"158";1912;"Technological";"Technological";"Transport Accident";"Water";"Japan";1000;0
"159";1912;"Technological";"Technological";"Transport Accident";"Water";"United Kingdom";1500;2200
"160";1912;"Technological";"Technological";"Transport Accident";"Water";"Spain";500;0
"161";1913;"Natural";"Biological";"Insect infestation";"Locust";"Niger";0;0
"162";1913;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Ethiopia";0;0
"163";1913;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Tanzania Uni Rep";0;0
"164";1913;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Peru";150;0
"165";1913;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Romania";0;0
"166";1913;"Natural";"Meteorological";"Storm";"Local storm";"United States";732;0
"167";1913;"Technological";"Technological";"Industrial Accident";"Explosion";"United Kingdom";439;0
"168";1913;"Technological";"Technological";"Transport Accident";"Air";"Germany";28;0
"169";1913;"Technological";"Technological";"Transport Accident";"Water";"Canada";235;0
"170";1914;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Ethiopia";0;0
"171";1914;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Japan";94;0
"172";1914;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Indonesia";20;20
"173";1914;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"Japan";35;0
"174";1914;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Japan";140;0
"175";1914;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Tokelau";0;0
"176";1914;"Technological";"Technological";"Industrial Accident";"Explosion";"Canada";189;0
"177";1914;"Technological";"Technological";"Transport Accident";"Water";"Canada";1014;0
"178";1915;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Honduras";0;0
"179";1915;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"United States";6;0
"180";1915;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Italy";29980;0
"181";1915;"Natural";"Geophysical";"Mass movement dry";"Avalanche";"Canada";56;22
"182";1915;"Natural";"Hydrological";"Flood";"General flood";"China P Rep";0;3e+06
"183";1915;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Haiti";1600;0
"184";1915;"Natural";"Meteorological";"Storm";"Tropical cyclone";"United States";525;0
"185";1915;"Technological";"Technological";"Transport Accident";"Air";"Belarus";21;0
"186";1915;"Technological";"Technological";"Transport Accident";"Air";"Germany";19;0
"187";1915;"Technological";"Technological";"Transport Accident";"Rail";"United Kingdom";227;246
"188";1915;"Technological";"Technological";"Transport Accident";"Water";"United States";812;0
"189";1916;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Romania";0;0
"190";1916;"Natural";"Meteorological";"Storm";"Tropical cyclone";"India";300;0
"191";1916;"Technological";"Technological";"Miscellaneous accident";"Collapse";"Canada";13;0
"192";1916;"Technological";"Technological";"Miscellaneous accident";"Collapse";"United States";30;0
"193";1916;"Technological";"Technological";"Miscellaneous accident";"Fire";"Canada";228;8000
"194";1916;"Technological";"Technological";"Transport Accident";"Air";"Bulgaria";20;0
"195";1916;"Technological";"Technological";"Transport Accident";"Air";"United Kingdom";42;0
"196";1916;"Technological";"Technological";"Transport Accident";"Air";"Germany";27;0
"197";1916;"Technological";"Technological";"Transport Accident";"Water";"China P Rep";1000;0
"198";1917;"Natural";"Biological";"Epidemic";"--";"Soviet Union";2500000;0
"199";1917;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Guatemala";2650;0
"200";1917;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"China P Rep";1800;0
"201";1917;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Indonesia";15000;0
"202";1917;"Natural";"Hydrological";"Flood";"General flood";"China P Rep";0;635000
"203";1917;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Jamaica";57;0
"204";1917;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Japan";4000;0
"205";1917;"Technological";"Technological";"Industrial Accident";"Explosion";"Canada";65;0
"206";1917;"Technological";"Technological";"Transport Accident";"Air";"Denmark";18;0
"207";1917;"Technological";"Technological";"Transport Accident";"Air";"Belgium";20;0
"208";1917;"Technological";"Technological";"Transport Accident";"Air";"France";18;0
"209";1917;"Technological";"Technological";"Transport Accident";"Air";"Germany";23;0
"210";1917;"Technological";"Technological";"Transport Accident";"Air";"Netherlands";45;0
"211";1917;"Technological";"Technological";"Transport Accident";"Rail";"France";543;0
"212";1917;"Technological";"Technological";"Transport Accident";"Water";"Canada";1600;15000
"213";1918;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Canada";50000;2e+06
"214";1918;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Bangladesh";393000;0
"215";1918;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"New Zealand";6700;0
"216";1918;"Natural";"Climatological";"Wildfire";"Forest fire";"United States";1000;0
"217";1918;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Puerto Rico";116;0
"218";1918;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"United States";116;0
"219";1918;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"China P Rep";10000;0
"220";1918;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Philippines";100;0
"221";1918;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"Russia";47;0
"222";1918;"Natural";"Meteorological";"Storm";"Tropical cyclone";"United States";34;0
"223";1918;"Technological";"Technological";"Industrial Accident";"Explosion";"Canada";88;0
"224";1918;"Technological";"Technological";"Miscellaneous accident";"Fire";"United States";38;0
"225";1918;"Technological";"Technological";"Transport Accident";"Air";"Germany";22;0
"226";1918;"Technological";"Technological";"Transport Accident";"Air";"Netherlands";19;0
"227";1918;"Technological";"Technological";"Transport Accident";"Rail";"United States";198;0
"228";1918;"Technological";"Technological";"Transport Accident";"Rail";"Netherlands";41;40
"229";1918;"Technological";"Technological";"Transport Accident";"Water";"Canada";343;0
"230";1919;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Anguilla";0;0
"231";1919;"Natural";"Climatological";"Drought";"Drought";"Anguilla";0;0
"232";1919;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Indonesia";5000;0
"233";1919;"Natural";"Meteorological";"Storm";"Tropical cyclone";"United States";500;0
"234";1919;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Bangladesh";0;0
"235";1920;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"India";2500000;0
"236";1920;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Anguilla";0;0
"237";1920;"Natural";"Climatological";"Drought";"Drought";"Cape Verde Is";24000;0
"238";1920;"Natural";"Climatological";"Drought";"Drought";"China P Rep";5e+05;2e+07
"239";1920;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"South Africa";0;0
"240";1920;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"China P Rep";180000;0
"241";1920;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Italy";0;650
"242";1920;"Natural";"Hydrological";"Flood";"--";"Germany Fed Rep";0;0
"243";1920;"Natural";"Meteorological";"Storm";"Local storm";"United States";224;0
"244";1920;"Technological";"Technological";"Industrial Accident";"Explosion";"Belgium";12;0
"245";1920;"Technological";"Technological";"Miscellaneous accident";"Fire";"Japan";40;0
"246";1921;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Anguilla";0;0
"247";1921;"Natural";"Climatological";"Drought";"Drought";"Soviet Union";1200000;5e+06
"248";1921;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Ethiopia";0;0
"249";1921;"Technological";"Technological";"Industrial Accident";"Explosion";"Belgium";21;0
"250";1921;"Technological";"Technological";"Industrial Accident";"Explosion";"Germany";600;1500
"251";1921;"Technological";"Technological";"Transport Accident";"Air";"United Kingdom";44;0
"252";1921;"Technological";"Technological";"Transport Accident";"Water";"China P Rep";1000;0
"253";1922;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Anguilla";0;0
"254";1922;"Natural";"Climatological";"Wildfire";"Forest fire";"Canada";43;11000
"255";1922;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Chile";1000;0
"256";1922;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"Chile";100;0
"257";1922;"Natural";"Hydrological";"Mass movement wet";"Landslide";"Italy";100;0
"258";1922;"Natural";"Meteorological";"Storm";"Tropical cyclone";"China P Rep";1e+05;0
"259";1922;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Bangladesh";0;0
"260";1922;"Technological";"Technological";"Industrial Accident";"Explosion";"Belgium";10;0
"261";1922;"Technological";"Technological";"Miscellaneous accident";"Fire";"Turkey";200;0
"262";1922;"Technological";"Technological";"Transport Accident";"Air";"United States";34;0
"263";1922;"Technological";"Technological";"Transport Accident";"Air";"China P Rep";17;0
"264";1923;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"Niger";1e+05;0
"265";1923;"Natural";"Biological";"Epidemic";"Parasitic Infectious Diseases";"Soviet Union";0;1,8e+07
"266";1923;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"Anguilla";0;0
"267";1923;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"China P Rep";7200;0
"268";1923;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Japan";143000;203733
"269";1923;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"Japan";2144;0
"270";1923;"Natural";"Geophysical";"Earthquake (seismic activity)";"Tsunami";"Soviet Union";18;0
"271";1923;"Natural";"Hydrological";"Mass movement wet";"Landslide";"Japan";200;0
"272";1923;"Natural";"Meteorological";"Storm";"Local storm";"Soviet Union";23;0
"273";1923;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Jamaica";4;1300
"274";1923;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Hong Kong (China)";100;0
"275";1923;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Japan";3000;0
"276";1923;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Myanmar";6;0
"277";1923;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Bangladesh";6;25000
"278";1923;"Technological";"Technological";"Industrial Accident";"Explosion";"Belgium";10;0
"279";1923;"Technological";"Technological";"Miscellaneous accident";"Collapse";"France";600;0
"280";1923;"Technological";"Technological";"Miscellaneous accident";"Fire";"Japan";3800;0
"281";1924;"Natural";"Biological";"Epidemic";"Bacterial Infectious Diseases";"India";3e+05;0
"282";1924;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Ecuador";40;0
"283";1924;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Indonesia";727;11250
"284";1924;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Taiwan (China)";1000;0
"285";1924;"Natural";"Meteorological";"Storm";"Tropical cyclone";"India";1242;1e+06
"286";1924;"Technological";"Technological";"Industrial Accident";"Explosion";"Belgium";24;0
"287";1925;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"United States";13;0
"288";1925;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"China P Rep";5000;0
"289";1925;"Natural";"Hydrological";"Flood";"--";"Germany Fed Rep";0;0
"290";1925;"Natural";"Meteorological";"Storm";"Local storm";"United States";739;0
"291";1925;"Natural";"Meteorological";"Storm";"Tropical cyclone";"India";80;0
"292";1925;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Tokelau";0;0
"293";1925;"Technological";"Technological";"Transport Accident";"Air";"United States";14;0
"294";1926;"Natural";"Biological";"Epidemic";"Viral Infectious Diseases";"India";423000;0
"295";1926;"Natural";"Geophysical";"Earthquake (seismic activity)";"Earthquake (ground shaking)";"Egypt";12;0
"296";1926;"Natural";"Geophysical";"Volcano";"Volcanic eruption";"Japan";144;0
"297";1926;"Natural";"Hydrological";"Flood";"--";"Romania";1000;0
"298";1926;"Natural";"Hydrological";"Flood";"--";"Germany Fed Rep";0;0
"299";1926;"Natural";"Hydrological";"Flood";"General flood";"India";0;0
"300";1926;"Natural";"Hydrological";"Flood";"General flood";"Belgium";0;0
"301";1926;"Natural";"Hydrological";"Mass movement wet";"Landslide";"Colombia";100;0
"302";1926;"Natural";"Meteorological";"Storm";"--";"Pakistan";0;0
"303";1926;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Bahamas";0;0
"304";1926;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Cuba";600;0
"305";1926;"Natural";"Meteorological";"Storm";"Tropical cyclone";"United States";268;0
"306";1926;"Natural";"Meteorological";"Storm";"Tropical cyclone";"Myanmar";2700;40000
